year,districtid,enrollment,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,districtnumber,nces_lea
2018,22009,632,0.48575949367088606,0,0.03322784810126582,0.04430379746835443,0.8908227848101266,0.022151898734177215,0.004746835443037975,0.39556962025316456,0.02531645569620253,0.11550632911392406,100215,5307210
2019,22009,621,0.48792270531400966,0.001610305958132045,0.03542673107890499,0.04830917874396135,0.8792270531400966,0.017713365539452495,0.008051529790660225,0.3993558776167472,0.028985507246376812,0.11916264090177134,100215,5307210
2020,22009,688,0.49709302325581395,0,0.0377906976744186,0.050872093023255814,0.8677325581395349,0.01744186046511628,0.007267441860465116,0.43459302325581395,0.023255813953488372,0.1308139534883721,100215,5307210
2021,22009,699,0.48068669527896996,0.002861230329041488,0.0357653791130186,0.04864091559370529,0.8698140200286123,0.01859799713876967,0.00715307582260372,0.4434907010014306,0.02145922746781116,0.12875536480686695,100215,5307210
2022,22009,732,0.46174863387978143,0.00273224043715847,0.04918032786885246,0.045081967213114756,0.8442622950819673,0.015027322404371584,0.00819672131147541,0.49453551912568305,0.01912568306010929,0.11885245901639344,100215,5307210
2023,22009,760,0.4605263157894737,0.003947368421052632,0.05263157894736842,0.03684210526315789,0.8407894736842105,0.014473684210526316,0.007894736842105263,0.5118421052631579,0.013157894736842105,0.125,100215,5307210
2024,22009,741,0.46153846153846156,0.004048582995951417,0.0553306342780027,0.032388663967611336,0.8313090418353576,0.012145748987854251,0.005398110661268556,0.48582995951417,0.010796221322537112,0.12550607287449392,100215,5307210
2025,22009,739,0.4546684709066306,0.008119079837618403,0.06224627875507442,0.044654939106901215,0.8051420838971584,0.008119079837618403,0.013531799729364006,0.4817320703653586,0.0040595399188092015,0.11907983761840325,100215,5307210
2015,22017,120,0.4666666666666667,0.008333333333333333,0.06666666666666667,0.03333333333333333,0.875,0,0,0.4166666666666667,0,0.13333333333333333,100012,5300090
2016,22017,120,0.5166666666666667,0,0.075,0.03333333333333333,0.8916666666666667,0,0,0.375,0.016666666666666666,0.1,100012,5300090
2017,22017,115,0.5478260869565217,0.008695652173913044,0.06956521739130435,0.02608695652173913,0.8956521739130435,0,0,0.4,0.008695652173913044,0.08695652173913043,100012,5300090
2018,22017,114,0.5789473684210527,0,0.07894736842105263,0.07894736842105263,0.8421052631578947,0,0,0.38596491228070173,0.008771929824561403,0.12280701754385964,100012,5300090
2019,22017,116,0.5689655172413793,0,0.05172413793103448,0.09482758620689655,0.853448275862069,0,0,0.3706896551724138,0.034482758620689655,0.14655172413793102,100012,5300090
2020,22017,130,0.5153846153846153,0,0.06153846153846154,0.1,0.8307692307692308,0,0,0.3384615384615385,0,0.12307692307692308,100012,5300090
2021,22017,121,0.47107438016528924,0,0.05785123966942149,0.10743801652892562,0.8264462809917356,0,0.05785123966942149,0.36363636363636365,0.01652892561983471,0.12396694214876033,100012,5300090
2022,22017,137,0.5109489051094891,0,0.08759124087591241,0.0948905109489051,0.8102189781021898,0,0,0.40145985401459855,0.051094890510948905,0.1386861313868613,100012,5300090
2023,22017,149,0.4899328859060403,0,0.06711409395973154,0.0738255033557047,0.8523489932885906,0,0,0.42953020134228187,0.06040268456375839,0.14093959731543623,100012,5300090
2024,22017,133,0.518796992481203,0,0.08270676691729323,0.03007518796992481,0.8796992481203008,0,0.022556390977443608,0.41353383458646614,0.06015037593984962,0.14285714285714285,100012,5300090
2025,22017,131,0.4961832061068702,0.007633587786259542,0.07633587786259542,0.04580152671755725,0.8625954198473282,0,0.022900763358778626,0.3969465648854962,0.08396946564885496,0.16793893129770993,100012,5300090
2015,22073,102,0.4117647058823529,0,0.0196078431372549,0.06862745098039216,0.8921568627450981,0,0,0.4117647058823529,0,0.17647058823529413,100060,5301860
2016,22073,88,0.4090909090909091,0,0.03409090909090909,0.022727272727272728,0.9318181818181818,0,0.011363636363636364,0.375,0,0.18181818181818182,100060,5301860
2017,22073,91,0.34065934065934067,0,0.03296703296703297,0.04395604395604396,0.9120879120879121,0,0.01098901098901099,0.38461538461538464,0.01098901098901099,0.2087912087912088,100060,5301860
2018,22073,90,0.43333333333333335,0.011111111111111112,0.05555555555555555,0.05555555555555555,0.8555555555555555,0,0.011111111111111112,0.3,0.011111111111111112,0.17777777777777778,100060,5301860
2019,22073,92,0.3804347826086957,0.010869565217391304,0.03260869565217391,0.07608695652173914,0.8695652173913043,0,0,0.31521739130434784,0.010869565217391304,0.20652173913043478,100060,5301860
2020,22073,83,0.43373493975903615,0,0.03614457831325301,0.04819277108433735,0.9036144578313253,0,0,0.37349397590361444,0.012048192771084338,0.21686746987951808,100060,5301860
2021,22073,80,0.4375,0,0.05,0.0875,0.8375,0,0,0.4125,0.0125,0.225,100060,5301860
2022,22073,86,0.4069767441860465,0,0.06976744186046512,0.05813953488372093,0.8604651162790697,0,0,0.4883720930232558,0.011627906976744186,0.26744186046511625,100060,5301860
2023,22073,100,0.46,0.01,0.07,0.05,0.85,0,0,0.52,0.01,0.26,100060,5301860
2024,22073,94,0.4787234042553192,0.02127659574468085,0.07446808510638298,0.0425531914893617,0.8297872340425532,0,0.0425531914893617,0.5851063829787234,0.010638297872340425,0.2553191489361702,100060,5301860
2025,22073,74,0.43243243243243246,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.8648648648648649,0,0,0.47297297297297297,0.013513513513513514,0.22972972972972974,100060,5301860
2015,22105,236,0.4322033898305085,0.00423728813559322,0.1016949152542373,0.00423728813559322,0.8728813559322034,0,0,0.4449152542372881,0.0635593220338983,0.13559322033898305,100180,5306120
2016,22105,242,0.45041322314049587,0.004132231404958678,0.10330578512396695,0.004132231404958678,0.8677685950413223,0,0,0.5041322314049587,0.07024793388429752,0.11570247933884298,100180,5306120
2017,22105,251,0.46613545816733065,0.0199203187250996,0.11553784860557768,0,0.8446215139442231,0,0,0.4940239043824701,0.099601593625498,0.09163346613545817,100180,5306120
2018,22105,260,0.47307692307692306,0.019230769230769232,0.11538461538461539,0,0.8461538461538461,0,0.0038461538461538464,0.5307692307692308,0.1076923076923077,0.11538461538461539,100180,5306120
2019,22105,262,0.4732824427480916,0.019083969465648856,0.12213740458015267,0.003816793893129771,0.8358778625954199,0.007633587786259542,0.019083969465648856,0.5343511450381679,0.10305343511450382,0.13740458015267176,100180,5306120
2020,22105,252,0.4603174603174603,0.015873015873015872,0.10317460317460317,0.003968253968253968,0.8650793650793651,0,0.01984126984126984,0.4880952380952381,0.1349206349206349,0.1111111111111111,100180,5306120
2021,22105,224,0.4642857142857143,0.017857142857142856,0.09821428571428571,0.017857142857142856,0.8482142857142857,0,0.03125,0.41517857142857145,0.16964285714285715,0.125,100180,5306120
2022,22105,238,0.44537815126050423,0.008403361344537815,0.10084033613445378,0.025210084033613446,0.8445378151260504,0,0.025210084033613446,0.42436974789915966,0.14285714285714285,0.12605042016806722,100180,5306120
2023,22105,237,0.48523206751054854,0,0.11392405063291139,0.02531645569620253,0.8438818565400844,0,0.02531645569620253,0.5527426160337553,0.11814345991561181,0.13924050632911392,100180,5306120
2024,22105,229,0.49344978165938863,0,0.11790393013100436,0.034934497816593885,0.8296943231441049,0.013100436681222707,0.017467248908296942,0.537117903930131,0.15283842794759825,0.15283842794759825,100180,5306120
2025,22105,225,0.49777777777777776,0,0.10666666666666667,0.04,0.8355555555555556,0.013333333333333334,0.008888888888888889,0.5244444444444445,0.17333333333333334,0.2,100180,5306120
2015,22200,283,0.4911660777385159,0.0035335689045936395,0.04946996466431095,0.05653710247349823,0.7985865724381626,0,0,0.3710247349823322,0.007067137809187279,0.13780918727915195,100296,5309840
2016,22200,283,0.4558303886925795,0.01060070671378092,0.053003533568904596,0.0636042402826855,0.773851590106007,0,0.01060070671378092,0.4452296819787986,0.0035335689045936395,0.14840989399293286,100296,5309840
2017,22200,276,0.47101449275362317,0.0036231884057971015,0.04710144927536232,0.07608695652173914,0.7862318840579711,0,0,0.39492753623188404,0.0036231884057971015,0.15942028985507245,100296,5309840
2018,22200,259,0.4826254826254826,0,0.06563706563706563,0.07335907335907337,0.7760617760617761,0,0,0.42857142857142855,0.003861003861003861,0.17374517374517376,100296,5309840
2019,22200,255,0.5019607843137255,0,0.050980392156862744,0.10196078431372549,0.7568627450980392,0,0.011764705882352941,0.4823529411764706,0.00392156862745098,0.18823529411764706,100296,5309840
2020,22200,232,0.4827586206896552,0,0.05603448275862069,0.11637931034482758,0.7198275862068966,0,0.06896551724137931,0.4525862068965517,0.004310344827586207,0.1939655172413793,100296,5309840
2021,22200,221,0.497737556561086,0,0.07239819004524888,0.12217194570135746,0.6923076923076923,0,0.06334841628959276,0.45248868778280543,0.004524886877828055,0.2171945701357466,100296,5309840
2022,22200,221,0.47058823529411764,0.004524886877828055,0.08144796380090498,0.058823529411764705,0.7420814479638009,0,0.049773755656108594,0.34841628959276016,0,0.2081447963800905,100296,5309840
2023,22200,217,0.4470046082949309,0,0.08294930875576037,0.08755760368663594,0.728110599078341,0,0.03225806451612903,0.4792626728110599,0,0.2073732718894009,100296,5309840
2024,22200,224,0.4375,0,0.06696428571428571,0.08482142857142858,0.7589285714285714,0,0.017857142857142856,0.5178571428571429,0.004464285714285714,0.19642857142857142,100296,5309840
2025,22200,226,0.4823008849557522,0,0.10176991150442478,0.05752212389380531,0.7522123893805309,0,0.035398230088495575,0.4646017699115044,0.01327433628318584,0.16371681415929204,100296,5309840
2015,22204,106,0.5188679245283019,0,0.02830188679245283,0.0660377358490566,0.8867924528301887,0,0,0.5188679245283019,0,0.1320754716981132,100103,5303360
2016,22204,100,0.45,0,0.03,0.09,0.85,0,0,0.45,0,0.17,100103,5303360
2017,22204,124,0.4112903225806452,0,0.04032258064516129,0.04838709677419355,0.8870967741935484,0,0,0.3709677419354839,0,0.1935483870967742,100103,5303360
